Title,Rating,Votes,Duration,Genre
Kraven the Hunter,5.5,54000,127,Action
Sonic the Hedgehog 3,6.9,58000,110,Action
Gladiator II,6.5,227000,148,Action
Twisters,6.5,167000,122,Action
Freaky Tales,7.2,1100,107,Action
Deadpool & Wolverine,7.6,490000,128,Action
The Crow,4.7,34000,111,Action
Dune: Part Two,8.5,623000,166,Action
The Ministry of Ungentlemanly Warfare,6.8,134000,122,Action
Venom: The Last Dance,6,116000,110,Action
Pushpa: The Rule - Part 2,6.1,56000,201,Action
Civil War,7,236000,109,Action
Furiosa: A Mad Max Saga,7.5,284000,148,Action
Carry-On,6.5,164000,119,Action
The Beekeeper,6.3,156000,105,Action
Fight or Flight,6.4,6600,97,Action
Borderlands,4.7,48000,101,Action
The Count of Monte-Cristo,7.6,34000,178,Action
The Fall Guy,6.8,220000,126,Action
Transformers One,7.6,50000,104,Action
Road House,6.2,167000,121,Action
Solo Leveling: ReAwakening,8.7,12000,121,Action
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Action
Rebel Ridge,6.8,88000,131,Action
Elevation,5.6,22000,91,Action
Love Lies Bleeding,6.6,57000,104,Action
Classified,3.7,2500,105,Action
William Tell,5.7,2400,133,Action
Madame Web,4,101000,116,Action
Bad Boys: Ride or Die,6.5,100000,115,Action
Argylle,5.6,92000,139,Action
Red One,6.3,139000,123,Action
Godzilla x Kong: The New Empire,6.1,121000,115,Action
Damsel,6.1,109000,110,Action
Kingdom of the Planet of the Apes,6.9,151000,145,Action
Hellboy: The Crooked Man,4.5,13000,99,Action
Land of Bad,6.6,51000,113,Action
Survive,4.5,2400,90,Action
Gunner,3.2,2600,106,Action
The Union,5.4,53000,107,Action
Kung Fu Panda 4,6.3,68000,94,Action
Werewolves,4.4,6500,93,Action
Monkey Man,6.8,91000,121,Action
Uglies,4.7,33000,100,Action
Aftermath,5.1,3900,97,Action
The Killer's Game,5.8,17000,104,Action
Homestead,5.3,3500,112,Action
The Killer,5.7,13000,126,Action
Arcadian,5.5,23000,92,Action
Toofan,7.4,7900,145,Action
Dirty Angels,4.3,3400,104,Action
Old Guy,5.2,2300,94,Action
Beverly Hills Cop: Axel F,6.4,81000,118,Action
Thelma,7,22000,98,Action
Lift,5.5,49000,107,Action
Blitz,6.2,16000,120,Action
Absolution,5.2,7900,112,Action
The Instigators,6.2,38000,101,Action
Maharaja,8.4,67000,141,Action
Attack on Titan the Movie: The Last Attack,9.2,15000,145,Action
Drive-Away Dolls,5.4,23000,84,Action
Marco,6.8,21000,145,Action
Azrael,5.4,11000,86,Action
Atlas,5.6,56000,118,Action
Descendants: The Rise of Red,4.7,7000,91,Action
Karma,7.9,1400,167,Action
Apocalypse Z: The Beginning of the End,6.1,20000,117,Action
Canary Black,5.3,11000,101,Action
The Prosecutor,6.7,1900,117,Action
Under Paris,5.2,36000,104,Action
Kalki 2898 AD,7,66000,180,Action
Cash Out,4.8,2900,92,Action
Armor,3.6,3800,89,Action
Twilight of the Warriors: Walled In,7,9400,126,Action
Brothers,5.4,13000,89,Action
Long Gone Heroes,5.2,1100,101,Action
Watchmen: Chapter I,7,6500,83,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
The Silent Hour,6.1,7400,99,Action
One More Shot,5.4,3700,103,Action
Trigger Warning,4.6,19000,106,Action
The Shadow Strays,6.5,9100,144,Action
Watchmen: Chapter II,7,3000,90,Action
Jackpot!,5.8,30000,106,Action
Relay,7.5,106,112,Action
Weekend in Taipei,5.7,4600,100,Action
Revolver,5.4,860,114,Action
Aavesham,7.8,28000,155,Action
Hitpig,5.1,929,86,Action
Boneyard,4.1,5000,96,Action
Red Right Hand,5.5,5900,111,Action
The Fix,4.6,1200,98,Action
Take Cover,5.1,2400,90,Action
River of Blood,5.2,1800,86,Action
Megamind vs. The Doom Syndicate,2.5,5600,83,Action
Trouble,6.2,6800,98,Action
Chief of Station,4.7,4600,97,Action
The Quiet Ones,6.4,685,110,Action
Cloud,6.3,1100,124,Action
Baby John,5.2,17000,159,Action
Uprising,6.6,5500,126,Action
Panda Plan,5.1,1300,99,Action
Viduthalai Part 2,7.9,16000,170,Action
No Way Up,4.6,10000,90,Action
Damaged,4.7,7300,97,Action
The Thundermans Return,5,1800,70,Action
Sikandar Ka Muqaddar,6,24000,142,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,Action
The Roundup: Punishment,6.6,5200,109,Action
My Spy: The Eternal City,5.7,11000,112,Action
Role Play,5.5,19000,100,Action
Duchess,4.6,1300,114,Action
Amaran,8.2,18000,167,Action
Prey,3.7,3300,86,Action
Singham Again,4.7,75000,144,Action
My Hero Academia: You're Next,7,2100,110,Action
Hanu Man,7.7,29000,158,Action
Harbin,6.3,618,108,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,Action
Jigra,6,24000,153,Action
The Wages of Fear,4.6,4100,104,Action
Levels,5,1500,93,Action
Baby Invasion,4.5,444,80,Action
"I, the Executioner",6.3,1700,118,Action
Dominique,5.3,2200,100,Action
Devara Part 1,6,20000,176,Action
A Legend,4.7,903,129,Action
Rogue Elements: A Ryan Drake Story,4.7,965,44,Action
The Clean Up Crew,4.1,1100,95,Action
Alien: Rubicon,2.4,340,86,Action
The Courier,6,4400,101,Action
Joe Baby,7.4,32,86,Action
Dan Da Dan: First Encounter,8.2,2700,83,Action
Officer Black Belt,6.8,8200,108,Action
Badland Hunters,5.9,12000,107,Action
Hounds of War,4.5,1800,95,Action
Rifle Club,7,4200,113,Action
Utopia,3.6,360,91,Action
Night Call,6.8,1900,97,Action
Hagen,6.1,1200,139,Action
Ultraman: Rising,6.9,6400,117,Action
Mafia Wars,3.4,240,94,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,Action
Dark Match,5.4,946,94,Action
Cesium Fallout,6.4,673,136,Action
Death Whisperer 2,6.4,1400,110,Action
Anaconda,4.9,635,84,Action
The Price of Money: A Largo Winch Adventure,5,1200,100,Action
Fighter,6.2,52000,166,Action
Kill Em All 2,4.1,1300,88,Action
Darkness of Man,4.8,3200,109,Action
Code 8: Part II,5.7,16000,100,Action
Handsome Guys,6.5,827,101,Action
Vanvaas,6.6,1300,160,Action
Bougainvillea,6.4,3200,138,Action
Air Force One Down,4.4,2900,84,Action
Zero,6.2,60,88,Action
Sunray: Fallen Soldier,4.3,628,115,Action
Simarik,6.4,2600,111,Action
Devil's Knight,5.2,879,90,Action
Raqa,5.7,205,107,Action
Pani,6.9,3000,143,Action
Striking Rescue,5.7,406,106,Action
One Fast Move,5,2200,108,Action
Bangkok Dog,4.8,189,85,Action
Angels Fallen: Warriors of Peace,4.9,5800,103,Action
Overlord: The Sacred Kingdom,6.9,956,135,Action
The Family Star,5.4,5500,159,Action
The Last Kumite,4.6,2300,105,Action
Article 370,7.8,25000,158,Action
Life After Fighting,6.4,2000,126,Action
The Tiger's Apprentice,5.7,2200,84,Action
Agni,7.2,15000,122,Action
Agent Recon,2.4,673,85,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,94,Action
London Calling,7.5,22,109,Action
Arena Wars,4.8,2100,96,Action
Black Heat,8.6,117,93,Action
Lights Out,4.9,1800,90,Action
Latency,4.2,2500,94,Action
Elyas,6.1,1400,105,Action
City Hunter,6.3,5600,102,Action
Freedom,5.9,1400,110,Action
Yolo,6.9,3700,129,Action
Die Hart 2: Die Harter,4.3,5500,92,Action
Wynonna Earp: Vengeance,5.6,1500,96,Action
Operation Undead,4.6,402,110,Action
The Twisters,2.5,332,86,Action
Rats!,6.5,121,85,Action
Sixty Minutes,5.7,5200,88,Action
Yodha,5.7,8800,130,Action
Golden Kamuy,6.3,2600,127,Action
11 Rebels,6.3,391,155,Action
Operation Blood Hunt,3.4,487,93,Action
Nice Girls,4.2,1200,92,Action
Paradox Effect,6,8600,87,Action
Heart of the Hunter,4.7,2200,105,Action
Hijack 1971,6.8,3300,100,Action
Everybody Loves Jenifa,8.3,86,135,Action
Alien Country,4.4,364,96,Action
Vettaiyan,7,39000,163,Action
Wanted Man,4.8,2600,85,Action
Khadaan,7.1,2100,137,Action
Escape,6.4,2000,94,Action
The Greatest of All Time,5.7,22000,183,Action
WWII: Operation Phoenix,6.3,75,106,Action
Ferry 2,5.6,3800,94,Action
Snow White and the Seven Samurai,3.2,292,88,Action
Murder Company,3.7,1500,86,Action
The Last of Us: Immunity,5.5,17,64,Action
Saripodhaa Sanivaaram,7,9000,166,Action
The Hangman,3.3,1000,92,Action
Savi,6.1,35000,126,Action
Sorgavaasal,6.6,1300,138,Action
Fight Another Day,4.9,350,97,Action
A.R.M,7.1,8700,150,Action
How to Rob a Bank,6.6,4200,88,Action
The Last Front,5.5,610,98,Action
The Lockdown,4.3,609,117,Action
Terminator: Skynet Rising,6.7,267,88,Action
40 Acres,6.8,130,113,Action
Raayan,6.5,11000,145,Action
Bionic,4.3,1700,110,Action
The Actor,3.4,732,128,Action
Kanguva,4.5,15000,152,Action
Bade Miyan Chote Miyan,3.8,39000,163,Action
Pusaka,5.5,106,90,Action
"Love, Courage and the Battle of Bushy Run",5,182,113,Action
Drive Back,4.8,305,94,Action
72 Hours,4.1,287,87,Action
Vedaa,6,4300,145,Action
Troubleshooters,6.6,415,110,Action
12 to Midnight,3.6,284,96,Action
200% Wolf,5.9,1300,98,Action
Jacob Tyler,4.3,58,133,Action
Chandu Champion,7.8,34000,142,Action
The Ballad of Davy Crockett,4.6,248,96,Action
Bagheera,6.7,7400,158,Action
KA,7.1,1600,151,Action
Outlaw,5.2,930,82,Action
Mura,7.3,6300,129,Action
Black Creek,7.3,8,116,Action
The Last Ronin,4.8,573,115,Action
Thangalaan,6.6,6600,156,Action
Guntur Kaaram,5.4,25000,159,Action
Get Fast,3.7,456,88,Action
GTMax,5,1200,100,Action
Kingdom 4: Return of the Great General,7.1,1300,145,Action
Shark Warning,3.4,267,94,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,692,80,Action
Roadkill,3.7,682,90,Action
The Friendly,8.1,15,101,Action
The Lost Tiger,7.8,44,90,Action
Eagle,5.9,4900,159,Action
Hellhound,4.3,506,103,Action
Max,7.1,3300,132,Action
Don't Mess with Grandma,6,153,81,Action
Continental Split,3.6,545,88,Action
Cassino in Ischia,4.4,242,113,Action
Eye for an Eye 2,6.6,504,90,Action
Pimpinero: Blood and Oil,5.6,550,121,Action
Tillu Square,6.6,3400,137,Action
Big City Greens the Movie: Spacecation,6.2,542,83,Action
Agents,3.4,933,82,Action
Spiders on a Plane,5.1,371,78,Action
Alienoid: The Return to the Future,6.5,2600,122,Action
War of the Worlds: Extinction,3.1,205,84,Action
Big Rage,3.6,166,115,Action
The Charisma Killers,6.3,655,101,Action
Conquer: Lahad Datu,6.6,511,120,Action
Invasion,4.8,680,91,Action
Bad Boyz,3.5,662,150,Action
Mission: Cross,6.1,2600,105,Action
Cells at Work!,6.8,220,109,Action
Ayalaan,6,4000,155,Action
Purushothamudu,5.1,2200,120,Action
I Am What I Am 2,7.5,203,134,Action
Ka Whawhai Tonu,7.3,179,115,Action
Razakar: The Silent Genocide of Hyderabad,7.4,5300,166,Action
Auron Mein Kahan Dum Tha,6.5,41000,150,Action
Ghosts of Red Ridge,3.3,157,81,Action
Crisis Negotiators,6.7,715,120,Action
Bidurbhai,9.2,379,148,Action
Hunting with Tigers,5.6,532,109,Action
Dirty Money,5.6,131,100,Action
Hunt the Wicked,5.3,113,102,Action
Martin,2.2,36000,147,Action
American Underdog,8.7,24,89,Action
Customs Frontline,5.5,488,115,Action
Rajakili,6.8,584,122,Action
Tales Beyond the Galaxy,4.7,178,76,Action
School of Magical Animals 3,5.8,312,105,Action
Exorcism Chronicles: The Beginning,7.2,97,85,Action
UI,6.8,5700,135,Action
Six jours,6.4,102,95,Action
Kahar: Kapla High Council,6.9,459,102,Action
I Heart Robots,4.6,2400,76,Action
Art of Eight Limbs,3.9,314,101,Action
Je Jatt Vigarh Gya,5.8,824,132,Action
Bachhala Malli,8.3,3900,140,Action
Taken from Rio Bravo,3,315,80,Action
Bloody Escape: Bats out of Hell,5.6,47,100,Action
Escape from the 21st Century,6.5,876,98,Action
Citizen of a Kind,6.7,817,114,Action
Sheriff,6.9,1100,133,Action
Lady Scorpions,3.6,367,101,Action
Non Negotiable,5.4,1200,87,Action
The Unbreakable Bunch,7.2,26,0,Action
No Time to Spy: A Loud House Movie,6.4,449,81,Action
Sasan,8.6,68,155,Action
The Moon Thieves,6.1,250,108,Action
Deaner '89,5.9,417,90,Action
Bonus Trip,4.5,226,113,Action
Yudhra,5,13000,142,Action
Drive,5.7,329,90,Action
Bureau 749,4.1,526,123,Action
Baby Assassins: Nice Days,7.3,303,103,Action
Mongol,8.6,94,155,Action
Ape X Mecha Ape: New World Order,2.8,135,87,Action
Fighting the Fire,8.5,1700,115,Action
Midas,4.7,340,85,Action
Go for Broke,5.7,272,115,Action
Anunnakiler,2.5,449,76,Action
Paradise,6.9,78,83,Action
Baki Hanma VS Kengan Ashura,5.7,1900,62,Action
Love You to Debt,6.2,759,135,Action
Mission: Chapter 1,5.9,1700,144,Action
Formed Police Unit,4.6,476,120,Action
6 Hours Away,3.9,244,93,Action
Bonnie,7.4,36,120,Action
Garudan,7.1,3300,133,Action
Ghost Killer,7.1,73,105,Action
Game On,5.3,2300,140,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,154,Action
Warrior Awang and Master Tok Gajah,4.6,476,118,Action
Kill Craft,2.4,365,99,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.1,467,72,Action
Jathara,7.8,1100,129,Action
Lal Salaam,4.5,1300,150,Action
Shark Island,3.2,115,81,Action
Ameena,6.4,19,107,Action
Malayalee from India,5.6,5000,160,Action
Barroz: Guardian of Treasures,3.5,1000,155,Action
Alangu,8.1,1200,131,Action
Mummy Shark,2,178,66,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1,660,174,Action
Jithender Reddy,7.5,2400,136,Action
Buying Time,6.1,402,84,Action
Sons of Rizk 3,6.7,1700,125,Action
Red vs. Blue: Restoration,5.6,136,85,Action
Appudo Ippudo Eppudo,4.7,231,120,Action
The Traveller,5.2,208,134,Action
Hitler,5.2,305,128,Action
Premalo,7.3,1100,128,Action
Hakkenden,5.8,75,149,Action
The Bouncer,4.2,90,78,Action
Sabari,6.5,5400,129,Action
Nothing Even Matters,5.5,77,90,Action
(Pri)sons,5.1,271,100,Action
Naam,6.3,277,136,Action
Siren,6.4,2900,154,Action
Lisabi: The Uprising,6.1,125,107,Action
Mazhai Pidikatha Manithan,4.5,424,133,Action
Holy Punch,5.2,48,98,Action
5 Pounds of Pressure,6.7,16,111,Action
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,7.4,20,116,Action
Prepare to Die,4.6,233,93,Action
Gandhi 3,5.5,239,143,Action
Sucha Soorma,6.4,918,136,Action
Correr para Vivir,7,197,97,Action
Rob N Roll,6.1,1500,98,Action
Next to Us,4.9,222,125,Action
Aserb: The Squadron,5.2,306,120,Action
The Day Everything Changed,7.9,79,97,Action
The Epidemic,5.7,72,95,Action
Orang Ikan,6.7,34,83,Action
Bond of Justice: Kizuna Part I - Encounter,6.2,18,92,Action
Bhairadevi,8.7,49,134,Action
12 Gaun,6.4,884,147,Action
Devaki Nandana Vasudeva,6.5,2700,128,Action
Turbo,5.9,3600,155,Action
Matka,4.7,585,156,Action
Sentimentaaal,5.6,976,135,Action
Mobile Suit Gundam SEED Freedom,6.6,949,124,Action
The Firefighters,5.7,191,106,Action
Diabel,5.1,247,108,Action
Road Wars: Max Fury,2,350,83,Action
Captain Miller,6.5,8600,157,Action
Zebra,7.2,3200,164,Action
Echo 8,3.9,199,96,Action
Kondal,5.3,770,147,Action
They Call Her Death,6.7,27,92,Action
The Plot,4.8,380,100,Action
Samandar,7.7,140,172,Action
The Evil Three,6.7,986,30,Action
The Wild Blade of Strangers,6.2,113,102,Action
Checkmate,4.3,390,104,Action
The Mick and the Trick,4.9,76,96,Action
Tòkunbò,3.9,296,113,Action
Texas Twister,2.5,157,88,Action
Rang De Basanti,8.8,145,174,Action
The Circuit 4: Faith Fighter,4.3,88,90,Action
The Miranda Brothers,4.4,190,99,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7,32,50,Action
Camp Blood: Clown Shark,3.3,87,70,Action
Panjab Files,8.2,20,117,Action
Stuntman,6.9,167,114,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5,41,82,Action
Ship of the Damned,2.8,298,88,Action
SCP: The Infinite Mission,6,32,0,Action
Sector 17,5.5,1300,146,Action
Dr. Jason II - Lights & Shadows,4.9,328,62,Action
Bandaa Singh Chaudhary,6.3,5200,113,Action
Bhaiyya Ji,4.8,7400,150,Action
The Infallibles,4.8,752,99,Action
The Slave and the Sorcerer,6.7,40,86,Action
Agastya - Chapter 1,6.9,597,168,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,18,90,Action
Neon Fear,5.8,540,40,Action
Blocking the Horse,6,13,94,Action
Mechanic Rocky,6.4,3500,156,Action
Pottel,8.2,2700,148,Action
Major Grom: The Game,6.1,1800,168,Action
First Nights at Freddy's,9.3,16,98,Action
Dreams,7.6,8,106,Action
Rendel: Cycle of Revenge,3.6,245,99,Action
Bull Shark 2,2.9,158,75,Action
Ballistic,2.2,161,95,Action
Karma,4.5,17,111,Action
Young Lion of the West,5.2,108,93,Action
Witch Hunter,5.3,24,80,Action
Mathu Vadalara 2,7,1700,139,Action
Shu Si Yi Bo,6.7,33,91,Action
Anchakkallakokkan,6.6,1000,126,Action
Fyre Rises,6.5,322,110,Action
My Fathers' Daughter,6.7,74,78,Action
Mirza: Part 1 - Joker,6.8,240,165,Action
Snatched,4.9,209,101,Action
Desperado,6,143,100,Action
Crosspoint,6.7,42,100,Action
Onsen shâku,5.9,32,70,Action
Taklee Genesis x Worlds Collide,5.4,407,146,Action
The Grey Men,6.4,70,97,Action
Losing Lerato 2,9.1,33,96,Action
Mr. Bachchan,3.6,5300,150,Action
High Forces,5.7,525,119,Action
Yuva,5.8,836,153,Action
Slide or Die the Movie,9.2,8,127,Action
Kung Fu Games,3.3,380,98,Action
Clone Cops,8,191,96,Action
The Last Chainsaw Massacre,3.8,41,75,Action
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,86,75,Action
24 Hours to D-Day,4.6,36,83,Action
Bastar: The Naxal Story,6.4,3300,124,Action
Tariq,6.2,18,122,Action
Buddy,3.8,345,137,Action
Kizumonogatari: Koyomi Vamp,7,88,144,Action
Gone with the Dead,4.4,47,96,Action
Reloaded 2,7.8,1100,45,Action
Nu Huo 12 Xiao Shi,6,47,86,Action
Bangkok Breaking: Heaven and Hell,5.8,665,146,Action
GATAO: Like Father Like Son,6.8,70,100,Action
The Desperate Chase,5.5,59,110,Action
Warning 2,7.1,887,125,Action
Memes & Nightmares,5.7,85,81,Action
Breaking and Re-entering,5.8,441,109,Action
Telekinesis,5.9,60,106,Action
Kamen Rider 555 20th: Paradise Regained,5.9,142,65,Action
Sikaar,8.3,677,150,Action
Shekko,6,559,120,Action
The Heist,6.9,2000,120,Action
Sayen: The Huntress,4.4,254,88,Action
Tiger's Trigger,4.2,18,84,Action
Dragon Ball Z Kai,8.5,71,82,Action
DNA,5.1,210,156,Action
Touchdown,6.8,14,78,Action
Clownface 3,9.5,35,104,Action
Gold Raiders,2,183,88,Action
The Experts,6.1,276,121,Action
Sous écrous,5.4,35,111,Action
Komandir,6.4,520,131,Action
Kadakan,4,112,128,Action
Oru Anveshanathinte Thudakkam,7.1,830,181,Action
Virunnu,7.7,879,125,Action
Yakuza Girl,2.3,66,82,Action
In Tenebras: Into the Darkness,3.3,174,90,Action
The Kingdom,7.9,89,133,Action
Dark World,4.6,15,135,Action
Where Is Gilgamesh?,9,606,90,Action
Bohurupi,8.3,1400,155,Action
Purushothamudu,7.4,13,120,Action
Transformers Prime: Galavatron's Revenge,3.7,9,104,Action
Rode College,6.6,429,168,Action
Second Life,6.8,48,105,Action
South Side Hero,5.4,36,92,Action
Hiranya,5.6,20,138,Action
Hit List,5.5,313,125,Action
Mutant,4.5,59,90,Action
Ruslaan,3.3,1200,120,Action
Gangs of Godavari,5,909,165,Action
Sunfall,2.3,37,74,Action
Death Game,6.3,24,88,Action
Bloodline,9.2,49,80,Action
Operation Valentine,5.3,1400,133,Action
Uninvited,6.7,74,93,Action
Three Old Captors,7,50,94,Action
Blade of Fury,6.1,124,90,Action
The Mystery of Humanoid Puppet,6.7,61,88,Action
Dange,5.3,794,154,Action
Kuang Bao Ju Xi,6,71,75,Action
Zénithal,5.4,83,80,Action
Bhimaa,5.1,1200,141,Action
Genis Aile 4: Cevahir & Ulvi,7,54,90,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,201,129,Action
The Omicron Killer,2.9,594,98,Action
Honeko Akabane's Bodyguards,5.9,40,117,Action
UmroAyyar - A New Beginning,6.9,674,135,Action
Por,5.1,615,154,Action
Megdan: Between Water and Fire,5.4,723,106,Action
How to Make a Werewolf,5.9,138,0,Action
Saint Young Men: Holy Men vs Demon Army,3,13,93,Action
London Gangsters,4.3,11,104,Action
Mahadev Ka Gorakhpur,7.6,387,131,Action
Hell City,9.1,27,90,Action
Saindhav,5.1,1600,138,Action
Weapon,5.5,5500,120,Action
Rathnam,5.4,3700,155,Action
Pungut,6.7,11,100,Action
Spider-Man: Final Swing,8.4,10,153,Action
Villain - Life of a Gangster,8.9,156,141,Action
Saala,5.7,1100,130,Action
Bhaje Vaayu Vegam,6.1,555,136,Action
Mega Twister,2.5,52,75,Action
Naag Bhoomi,5.7,8,130,Action
Hrashwo Deergha,8,82,150,Action
Cholo Zombies,4.6,103,96,Action
Kali,5.1,418,96,Action
Black Storm,6.6,64,97,Action
Petta Rap,4,1700,123,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,157,100,Action
Polar,4.4,29,76,Action
Aho Vikramaarka,7.4,54,136,Action
Average Student Nani,7.5,2200,138,Action
Double Ismart,2.9,2100,156,Action
Viswam,4.2,641,155,Action
Jorge da Capadócia,6.4,131,119,Action
The Worlds Divide,8.1,39,120,Action
Neo-Dome,6.7,17,15,Action
Abudeka Is Back,5.3,34,120,Action
Thundu,5,904,125,Action
Spirit Riser,6.7,33,98,Action
Captain Avispa,5.8,175,96,Action
Iddaru,8.8,297,148,Action
Hain,2.9,45,95,Action
Malaikottai Vaaliban,6,4100,156,Action
Indrani: Epic-1 Dharam vs Karam,7.6,1100,157,Action
Kamen Rider Gotchard: The Future Daybreak,7.9,71,63,Action
What Happens in Miami,4.3,219,90,Action
The Captives,3.5,66,73,Action
Dünya Mali: Eksi Bir,7.2,16,133,Action
Inanimate Insanity II: The Movie,8.4,231,106,Action
Gravediggers,6.4,29,91,Action
Inkabi,4.7,79,101,Action
Angel of the Warrior,8.5,134,90,Action
Emanet,7.9,31,97,Action
Bheema,5.8,950,148,Action
Hide and Seek,8.2,54,130,Action
The Yoshi Movie,7.7,12,105,Action
Dark Fusion,8.5,235,90,Action
Rocky and Bullwinkle,9.1,12,100,Action
"Bullets, Brothers and Blood",7.8,15,85,Action
September Babies,5.8,288,94,Action
Star Abyss,3.8,245,86,Action
Love You as the World Ends Final,6.4,37,115,Action
Mother Mafia,3.3,48,80,Action
Joachim and the Apocalypse,7.2,13,90,Action
The Escapee 3: The Final Escape,2.6,64,83,Action
Marni: The Story of Wewe Gombel,5.9,211,119,Action
Brattt,4.7,67,117,Action
Guy Manley: Super Spy,4.4,117,92,Action
Rebel,3.1,65,100,Action
Athhoi,8,133,158,Action
The Vampire and the Vigilante,3.6,51,75,Action
Election,5.9,809,120,Action
Permafrost,5.7,114,80,Action
Gam Gam Ganesha,5.3,310,140,Action
Serra das Almas,6.3,10,120,Action
Chasing Raine,2.3,187,101,Action
Ame no naka no yokujô,5.9,75,132,Action
Thiragabadara Saami,6.4,96,115,Action
Chaari 111,4.8,258,130,Action
The Alexandrian,3.8,253,104,Action
Pranaya Godari,7.8,2400,148,Action
Sarangadhariya,8.4,3100,150,Action
The Dragon's Tomb,6.8,52,77,Action
Played,6.2,11,96,Action
Joshua: Imai Pol Kaka,4.5,587,130,Action
Death Bitch,7.5,19,88,Action
Thankamani,4.6,229,156,Action
The Burden of Nine Lives,4.7,101,116,Action
Krishnamma,6.2,366,138,Action
Roxana,3.8,66,98,Action
Surrender,7.8,15,149,Action
Itutumba ka ng tatay ko,5.7,29,109,Action
Harom Hara,6.6,3000,154,Action
Naa Saami Ranga,4.5,1200,150,Action
Raanti,6.6,1100,115,Action
Die Chaosschwestern und Pinguin Paul,5.7,66,100,Action
Iron Fighter,3.6,63,80,Action
Lie Zhan,6.9,66,93,Action
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,32,71,Action
Usha Parinayam,9,2100,144,Action
Dangerous Boys 2,5.1,9,115,Action
Speed 220,6.8,1000,114,Action
Nothing Unusual,9.7,12,92,Action
Raju Gari Ammayi Naidu Gari Abbayi,8.2,3100,158,Action
Sith Wars: Episódio III - Fantasmas Dos Sith,8.6,114,99,Action
Artist Unknown,8.7,17,82,Action
E-mail,5.4,805,119,Action
Raktaksha,8.4,1400,118,Action
Surge of Power: Where There's Smoke,6.5,13,68,Action
Dhaaak,8.6,24,128,Action
Pushpaka Vimanam,5.6,16,137,Action
Revenge,1.5,41,127,Action
Stranded Pearl,6,27,90,Action
Useful Idiots,8.3,19,92,Action
Breaking Tradition,6.9,26,87,Action
Deadzone,4.1,35,80,Action
Rock 'n' Roll Ringo,6.3,54,101,Action
Achilles Curse and the Curse of Treasure,7.4,25,125,Action
Zoloto Umalty,4.9,109,109,Action
Mirg,6.1,36,83,Action
Nasha Jurm Aur Gangsters,6.7,2400,137,Action
Too Little Too Late,5.5,8,66,Action
Chinatown Chacha,5.1,56,103,Action
Jigar,7.1,18,122,Action
The Bottom Line,6.5,12,107,Action
El Duro,5.4,14,90,Action
Killer Ex,3.9,52,94,Action
Hope & Glory,6.6,144,44,Action
Codename: Devil,5.4,5,104,Action
Blood Vendetta,7.7,236,90,Action
"Silex and the City, le film",4.9,50,77,Action
Usire Usire,7.5,1100,151,Action
Kreem,6.8,128,115,Action
Lolipop Gang,3.6,6,90,Action
Chhota Bheem and the Curse of Damyaan,4.8,2300,145,Action
Marine Drive,9.5,50,105,Action
Heavens: The Boy and His Robot,6.3,22,98,Action
The Correct Way of Youth,9.3,783,90,Action
Charlotte Link - Ohne Schuld,5.5,41,89,Action
Anthima Theerpu,7,1500,133,Action
The Delegator,4.2,17,96,Action
Framed,4.9,69,0,Action
Shri Swapankumarer Badami Hyenar Kobole,5.6,324,146,Action
Di Renjie: Tongtian xuan an,7.2,16,85,Action
Jurassic Exorcist,3.8,23,76,Action
Appu,8.6,181,92,Action
Haraa,5.4,2900,136,Action
The Drunken Prodigy,5.6,15,107,Action
Crypto Storm,4.7,33,101,Action
Kamen Rider Geats: Jyamato Awaking,8,73,54,Action
Yao Shen Ling,6.7,66,93,Action
Lorry Chapter-1,5.7,2400,183,Action
Kade,6.7,16,92,Action
Shadows of Betrayal: Chronicles of Ian Blair,7.3,12,65,Action
Inherited,9.5,21,76,Action
Dead Hand,4.1,75,92,Action
Mobile Suit Gundam: Silver Phantom,6.1,13,90,Action
Babu,7.5,183,142,Action
Operation Wakaliga: Fate and Blood,6.7,11,66,Action
Halloween: Mal Eterno,8.2,224,50,Action
Fights Break Sphere 3,4.7,8,81,Action
Cândido,6.3,59,99,Action
Supplier Shankara,9.3,70,163,Action
Mercy Killing,8.7,2700,131,Action
Bullet,9,569,131,Action
Vorovka,4.8,50,90,Action
Shockwaves 2,2.8,147,79,Action
Snowstorm,4.6,5,91,Action
